CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT
MultiStartMultivariateVectorOptimizer.new Comparator() {...},4,2,6,0.333333333,2,10,12,0.833333333,3,3,6,#N/A,0,0,0,0,0
UnivariatePointValuePair,0,0,0,100,0,6,6,1,0,3,3,UnivariatePointValuePair,4,0,0,0,0
SearchInterval,3,3,6,0.5,2,12,14,0.857142857,3,5,8,SearchInterval,9,0,0,2,0
BracketFinder,10,36,46,0.782608696,9,84,93,0.903225806,13,22,35,BracketFinder,81,0,18,83,0
MultiStartUnivariateOptimizer.new Comparator() {...},3,5,8,0.625,1,8,9,0.888888889,3,3,6,#N/A,0,0,0,0,0
UnivariateOptimizer,0,8,8,1,0,24,24,1,0,12,12,UnivariateOptimizer,14,0,0,0,0
MultiStartUnivariateOptimizer,2,18,20,0.9,2,49,51,0.960784314,2,14,16,MultiStartUnivariateOptimizer,28,0,1,4,0
BrentOptimizer,5,69,74,0.932432432,6,115,121,0.950413223,5,37,42,BrentOptimizer,189,0,4,37,0
UnivariateObjectiveFunction,0,0,0,100,0,4,4,1,0,2,2,UnivariateObjectiveFunction,1,0,0,0,0
SimpleUnivariateValueChecker,1,9,10,0.9,0,16,16,1,1,7,8,SimpleUnivariateValueChecker,22,0,0,4,0
ChebyshevDistance,0,0,0,100,0,2,2,1,0,2,2,ChebyshevDistance,1,0,0,0,0
EarthMoversDistance,0,2,2,1,0,8,8,1,0,3,3,EarthMoversDistance,7,0,0,0,0
EuclideanDistance,0,0,0,100,0,2,2,1,0,2,2,EuclideanDistance,1,0,0,0,0
ManhattanDistance,0,0,0,100,0,2,2,1,0,2,2,ManhattanDistance,1,0,0,0,0
CanberraDistance,0,6,6,1,0,7,7,1,0,5,5,CanberraDistance,10,0,0,0,0
Transformer.new Transformer() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
Transformer.new Transformer() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
Transformer.new Transformer() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
Transformer.new Transformer() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
Transformer.new Transformer() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
Transformer,0,0,0,100,0,6,6,1,0,1,1,Transformer,8,0,0,1,0
FilterType,0,0,0,100,0,3,3,1,0,1,1,FilterType,75,0,0,21,0
EventFilter,2,20,22,0.909090909,4,42,46,0.913043478,3,13,16,EventFilter,25,0,4,11,0
FilterType.new FilterType() {...},2,36,38,0.947368421,2,39,41,0.951219512,2,24,26,#N/A,0,0,0,0,0
FilterType.new FilterType() {...},2,36,38,0.947368421,2,39,41,0.951219512,2,24,26,#N/A,0,0,0,0,0
EventState,16,52,68,0.764705882,8,102,110,0.927272727,16,31,47,EventState,72,0,5,14,3
EventState.new UnivariateFunction() {...},0,0,0,100,2,3,5,0.6,0,2,2,#N/A,0,0,0,0,0
EventHandler.Action,0,0,0,100,0,5,5,1,0,1,1,#N/A,0,0,0,0,0
EventState.LocalMaxCountExceededException,0,0,0,100,4,0,4,0,2,0,2,#N/A,0,0,0,0,0
